TripStartTime,PickupLon,PickupLat,DropLon,DropLat,GT_Distance,GT_Duration,OsrmDistance,OsrmDuration
11-05-13 22:55,-73.9683,40.755272,-73.978409,40.745934,None,2.75,1.5794,2.50833333333
11-05-13 22:59,-73.978317,40.745983,-74.002541,40.744987,None,9.63333333333,3.2805,5.95666666667
11-05-13 23:13,-74.005547,40.739143,-73.978172,40.729279,None,9.85,2.7281,5.77333333333
11-05-13 23:49,-74.005585,40.739891,-74.001915,40.729618,None,4.73333333333,1.2179,2.96666666667
11-06-13 00:31,-73.967926,40.75526,-73.98761,40.728874,None,4.53333333333,3.4127,6.55333333333
11-06-13 01:52,-74.007332,40.732952,-73.948105,40.778763,None,16.7833333333,8.9019,14.1916666667
11-06-13 19:01,-73.969376,40.760513,-73.9673,40.756027,None,5.53333333333,0.7526,1.66333333333
11-06-13 19:15,-73.972809,40.755993,-73.999832,40.734467,None,22.7,4.0613,8.15166666667
11-06-13 19:58,-74.003685,40.750759,-73.97271,40.762444,None,20.0333333333,4.7907,6.81
11-06-13 20:22,-73.974747,40.762936,-73.98703,40.771049,None,9.58333333333,1.6034,2.37833333333
11-06-13 20:33,-73.986687,40.771618,-73.968575,40.796551,None,6.13333333333,3.165,4.44833333333
11-06-13 21:00,-73.97068,40.762676,-73.893898,40.739658,None,18.3,7.2399,9.37
11-06-13 22:32,-73.885376,40.773144,-73.9562,40.714226,None,12.9833333333,10.5617,12.0283333333
11-06-13 22:46,-73.95623,40.714119,-73.969635,40.784908,None,21.3833333333,12.4133,14.955
11-06-13 23:15,-73.966568,40.760937,-73.92775,40.776638,None,11.55,6.2274,8.065
11-06-13 23:45,-73.870865,40.773674,-73.984444,40.758987,None,20.2333333333,14.7055,15.8616666667
11-07-13 00:58,-73.967583,40.754868,-73.904785,40.771961,None,15.4666666667,8.2885,10.7116666667
11-07-13 19:29,-74.004463,40.749298,-73.987999,40.728813,None,17.8333333333,3.6778,7.73833333333
11-07-13 19:54,-73.976067,40.740002,-73.988914,40.734062,None,8.3,1.8722,4.20166666667
11-07-13 20:16,-73.977814,40.745907,-73.979164,40.766766,None,23.0666666667,3.2099,4.75
11-07-13 20:53,-73.979034,40.782394,-73.958801,40.763275,None,13.8,3.7805,5.34
11-07-13 21:18,-73.966827,40.756924,-73.987335,40.760284,None,14.85,2.185,3.27666666667
11-07-13 21:34,-73.987076,40.760818,-73.974396,40.74226,None,16.5333333333,3.8452,6.20333333333
11-07-13 21:52,-73.974472,40.742268,-73.976212,40.745129,None,1.8,0.4582,1.04666666667
11-07-13 22:01,-73.983704,40.74918,-74.01017,40.714581,None,11.7,4.8347,11.1333333333
11-07-13 22:16,-74.00972,40.713676,-74.004364,40.707893,None,3.06666666667,0.9471,2.145
11-07-13 22:28,-74.004265,40.719597,-73.997345,40.736687,None,9.83333333333,2.1323,4.97
11-07-13 22:38,-73.99733,40.736656,-73.982773,40.756912,None,9.96666666667,2.5669,5.68333333333
11-07-13 23:39,-73.984612,40.703239,-73.948265,40.728004,None,10.95,6.8219,9.64833333333
11-01-13 00:23,-73.979538,40.776215,-74.003899,40.720177,None,20.0,8.3712,13.55
11-01-13 00:44,-74.003685,40.720428,-74.007378,40.704926,None,6.0,2.31,5.01
11-01-13 01:12,-74.005424,40.74004,-74.015709,40.706043,None,8.0,4.5621,7.57666666667
11-01-13 01:26,-74.008858,40.725964,-73.947563,40.691704,None,16.0,7.5271,12.9583333333
11-01-13 01:49,-73.961761,40.713741,-73.983994,40.667866,None,17.0,8.4551,11.405
11-01-13 02:26,-73.994316,40.726288,-73.979088,40.746544,None,7.0,2.8332,6.47833333333
11-01-13 02:37,-73.983398,40.743515,-73.978523,40.736969,None,3.0,1.2933,3.11166666667
11-01-13 02:50,-73.997063,40.737309,-73.943161,40.72179,None,16.0,8.4545,13.2866666667
11-01-13 03:28,-73.98983,40.731819,-73.982147,40.763817,None,13.0,4.9613,8.77833333333
11-01-13 03:44,-73.974449,40.761986,-73.90873,40.761002,None,12.0,7.3245,10.895
11-01-13 04:01,-73.920502,40.753391,-73.860153,40.738377,None,18.0,7.1474,9.08666666667
11-02-13 08:53,-73.956627,40.768173,-73.962555,40.774841,None,4.0,1.2049,1.925
11-02-13 09:46,-73.989914,40.733883,-73.992287,40.749184,None,10.0,2.3706,5.32666666667
11-02-13 10:22,-73.986313,40.758591,-73.999969,40.758797,None,6.0,1.5249,2.095
11-02-13 10:39,-73.981674,40.755253,-73.997231,40.756516,None,11.0,2.0871,2.97666666667
11-02-13 10:56,-73.985291,40.763718,-73.979317,40.764729,None,2.0,0.8981,1.88833333333
11-02-13 14:26,-73.810936,40.692726,-73.969818,40.752377,None,18.0,20.3399,17.7816666667
11-02-13 14:47,-73.967918,40.752129,-73.993622,40.735352,None,7.0,3.7039,7.38833333333
11-02-13 15:16,-73.970535,40.765316,-73.960281,40.775623,None,4.0,1.5905,2.52166666667
11-02-13 15:36,-73.96463,40.770332,-73.980171,40.765472,None,9.0,1.9904,2.93833333333
11-02-13 16:36,-73.957985,40.776524,-73.970276,40.761841,None,6.0,2.1611,3.27833333333
11-02-13 16:46,-73.970139,40.763355,-73.953529,40.766949,None,5.0,2.079,2.97
11-03-13 13:11,-73.787697,40.644928,-73.992111,40.749496,None,25.0,27.8247,24.0016666667
11-03-13 13:50,-73.975098,40.748711,-73.95295,40.780117,None,8.0,4.037,5.55833333333
11-03-13 14:00,-73.949242,40.784931,-73.962181,40.763447,None,9.0,2.8803,3.89833333333
11-03-13 14:11,-73.966515,40.76511,-73.9963,40.742905,None,12.0,4.4448,7.72833333333
11-03-13 14:33,-73.992172,40.749748,-73.986816,40.742924,None,4.0,1.0663,2.43
